date,query_text,impressions,clicks,ctr,avg_position,position_bucket,seo_segment
2026-03-13,летний лагерь,241,27,0.1120,4.34,top_10,growth_zone
2026-03-12,летний лагерь,233,25,0.1073,4.29,top_10,growth_zone
2026-03-13,детский лагерь в подмосковье на лето 2026,145,1,0.0069,10.18,below_10,low_ctr
2026-03-12,лечение онлайн зависимости от игр,131,1,0.0076,5.75,top_10,low_ctr
2026-03-13,лечение онлайн зависимости от игр,131,1,0.0076,5.75,top_10,low_ctr
2026-03-12,детский лагерь в подмосковье на лето 2026,129,0,0.0000,10.17,below_10,high_demand_zero_clicks
2026-03-13,детский лагерь на лето 2026,107,31,0.2897,2.33,top_3,other
2026-03-12,детский лагерь на лето 2026,105,31,0.2952,2.32,top_3,other
2026-03-13,летний лагерь для подростков,97,34,0.3505,2.23,top_3,other
2026-03-12,летний лагерь для подростков,94,32,0.3404,2.24,top_3,other
2026-03-13,лагерь для подростков,85,0,0.0000,6.85,top_10,high_demand_zero_clicks
2026-03-12,лагерь для подростков,84,0,0.0000,6.83,top_10,high_demand_zero_clicks
2026-03-13,зависимость от телефона у подростков,78,34,0.4359,3.60,top_10,other
2026-03-13,летние лагеря,78,0,0.0000,5.87,top_10,high_demand_zero_clicks
2026-03-12,летние лагеря,77,0,0.0000,5.84,top_10,high_demand_zero_clicks
2026-03-12,зависимость от телефона у подростков,76,34,0.4474,3.64,top_10,other
2026-03-13,лагеря в подмосковье на лето,75,0,0.0000,17.24,below_10,high_demand_zero_clicks
2026-03-13,детский летний лагерь,74,50,0.6757,1.53,top_3,other
2026-03-12,лагеря в подмосковье на лето,72,0,0.0000,17.40,below_10,high_demand_zero_clicks
2026-03-12,детский летний лагерь,71,48,0.6761,1.51,top_3,other
2026-03-13,летний детский лагерь,70,1,0.0143,2.99,top_3,low_ctr
2026-03-13,лечение зависимости от телефона у подростка,65,42,0.6462,1.46,top_3,other
2026-03-12,летний детский лагерь,65,1,0.0154,2.75,top_3,low_ctr
2026-03-12,лечение зависимости от телефона у подростка,62,41,0.6613,1.31,top_3,other
2026-03-13,детский лагерь,60,0,0.0000,9.53,top_10,high_demand_zero_clicks
2026-03-12,детский лагерь,59,0,0.0000,9.22,top_10,high_demand_zero_clicks
2026-03-13,куда деть ребенка летом работающим родителям,55,36,0.6545,1.98,top_3,other
2026-03-13,как бороться с зависимостью от компьютерных игр,54,42,0.7778,1.13,top_3,other
2026-03-12,как бороться с зависимостью от компьютерных игр,51,39,0.7647,1.14,top_3,other
2026-03-13,лечение телефонной зависимости у подростков,50,0,0.0000,4.48,top_10,high_demand_zero_clicks
2026-03-12,лечение телефонной зависимости у подростков,50,0,0.0000,4.48,top_10,high_demand_zero_clicks
2026-03-12,куда деть ребенка летом работающим родителям,50,31,0.6200,2.08,top_3,other
2026-03-12,игровая зависимость от компьютерных игр лечение v-gotlib.ru,48,0,0.0000,3.90,top_10,low_ctr
2026-03-13,игровая зависимость от компьютерных игр лечение v-gotlib.ru,48,0,0.0000,3.90,top_10,low_ctr
2026-03-13,детский лагерь подмосковье лето 2026,47,29,0.6170,3.49,top_10,other
2026-03-12,зависимости от телефона у подростков лечение,46,0,0.0000,3.67,top_10,low_ctr
2026-03-13,лагерь майнкрафт,46,44,0.9565,1.11,top_3,other
2026-03-13,зависимости от телефона у подростков лечение,46,0,0.0000,3.67,top_10,low_ctr
2026-03-13,лагерь it,46,42,0.9130,1.13,top_3,other
2026-03-12,лагерь майнкрафт,45,43,0.9556,1.11,top_3,other
2026-03-13,летний компьютерный лагерь,45,40,0.8889,1.13,top_3,other
2026-03-13,ит лагерь для детей,44,40,0.9091,1.09,top_3,other
2026-03-12,лагерь it,44,41,0.9318,1.11,top_3,other
2026-03-12,летний компьютерный лагерь,43,38,0.8837,1.14,top_3,other
2026-03-13,айда кодить,42,0,0.0000,10.60,below_10,low_ctr
2026-03-12,ит лагерь для детей,42,38,0.9048,1.10,top_3,other
2026-03-12,детский лагерь подмосковье лето 2026,42,25,0.5952,3.57,top_10,other
2026-03-12,работа с зависимыми подростками,41,0,0.0000,5.66,top_10,low_ctr
2026-03-13,it лагерь,41,35,0.8537,1.90,top_3,other
2026-03-13,работа с зависимыми подростками,41,0,0.0000,5.66,top_10,low_ctr
2026-03-13,лагерь на август подмосковье,41,33,0.8049,1.00,top_3,other
2026-03-13,лагерь программирования,41,30,0.7317,1.44,top_3,other
2026-03-13,детский лагерь подмосковье,40,0,0.0000,8.98,top_10,low_ctr
2026-03-13,лагерь подмосковье,40,0,0.0000,7.28,top_10,low_ctr
2026-03-13,айти лагерь для детей,40,33,0.8250,1.73,top_3,other
2026-03-13,ай да кодить,39,0,0.0000,10.18,below_10,low_ctr
2026-03-12,лагерь на август подмосковье,39,32,0.8205,1.00,top_3,other
2026-03-12,лагерь программирования,39,28,0.7179,1.46,top_3,other
2026-03-12,айда кодить,38,0,0.0000,10.63,below_10,low_ctr
2026-03-12,ай да кодить,38,0,0.0000,10.21,below_10,low_ctr
2026-03-12,it лагерь,37,32,0.8649,1.89,top_3,other
2026-03-12,айти лагерь для детей,37,30,0.8108,1.78,top_3,other
2026-03-13,лагерь для детей летом 2026,37,35,0.9459,1.05,top_3,other
2026-03-13,компьютерный лагерь,37,25,0.6757,2.32,top_3,other
2026-03-13,айти лагерь,37,34,0.9189,1.19,top_3,other
2026-03-12,игровая зависимость от компьютерных игр лечение,36,0,0.0000,19.50,below_10,low_ctr
2026-03-12,детский лагерь подмосковье,36,0,0.0000,8.97,top_10,low_ctr
2026-03-12,айти лагерь,36,33,0.9167,1.19,top_3,other
2026-03-13,лечение зависимостей у подростков,36,0,0.0000,28.92,below_10,low_ctr
2026-03-13,it лагерь для детей,36,34,0.9444,1.14,top_3,other
2026-03-13,ит лагерь,36,31,0.8611,1.11,top_3,other
